ticker,list_date,market_cap,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
02181.HK,2019/05/31,61.86-80.42,1.50,1.95,1.500,0.5,100.0%,-19.333%
01521.HK,2019/05/30,51.19-64.24,2.55,3.20,3.200,90.7,50.0%,+4.688%
02060.HK,2019/05/28,20.48-28.40,2.56,3.55,2.680,認購不足,100.0%,+1.119%
03868.HK,2019/05/28,125.26-155.74,1.89,2.35,1.940,0.1,100.0%,0.000%
01817.HK,2019/05/27,44.46-55.86,4.68,5.88,4.390,認購不足,100.0%,+2.506%
02230.HK,2019/05/21,8.96-10.56,0.45,0.53,0.450,14.8,60.0%,-31.111%
01832.HK,2019/05/16,12.74-16.13,3.54,4.48,3.540,0.2,100.0%,-2.260%
02346.HK,2019/05/16,5.00-6.10,1.00,1.22,1.000,10.4,50.0%,+11.000%
01903.HK,2019/05/10,5.90-6.90,1.18,1.38,1.180,0.2,100.0%,+4.237%
01867.HK,2019/05/09,N/A,N/A,N/A,N/A,N/A,N/A,-0.255%
01873.HK,2019/05/09,51.30-66.15,3.42,4.41,4.410,105.9,100.0%,+0.227%
01857.HK,2019/05/08,83.12-120.93,2.99,4.35,2.990,1.4,100.0%,-11.371%
01753.HK,2019/05/07,66.67-90.00,6.00,8.10,6.000,6.7,100.0%,+0.167%
08635.HK,2019/05/02,2.12-2.68,0.53,0.67,0.530,100.3,15.0%,+37.736%
01780.HK,2019/04/30,5.21-6.57,0.84,1.06,0.840,10.3,30.0%,+5.952%
01906.HK,2019/04/26,5.52-7.20,0.46,0.60,0.580,94.9,50.0%,0.000%
06806.HK,2019/04/26,90.90-98.41,3.63,3.93,3.630,2.8,100.0%,-11.846%
01545.HK,2019/04/25,6.00-7.80,0.30,0.39,0.300,54.9,50.0%,-10.000%
03321.HK,2019/04/23,7.00-9.00,1.40,1.80,1.400,6.9,16.0%,-0.714%
02660.HK,2019/04/16,11.20-13.20,1.12,1.32,1.230,46.5,50.0%,+30.894%
02718.HK,2019/04/03,22.40-33.60,3.06,3.06,3.060,認購不足,100.0%,-9.477%
01797.HK,2019/03/28,85.00-101.45,9.30,11.10,10.200,8.2,100.0%,0.000%
06185.HK,2019/03/28,27.86-29.19,21.00,22.00,22.000,89.8,100.0%,+57.727%
01865.HK,2019/03/27,5.06-5.98,0.55,0.65,0.550,26.0,50.0%,+20.000%
06819.HK,2019/03/27,23.91-32.32,5.32,7.19,5.350,認購不足,100.0%,-2.617%
08537.HK,2019/03/27,2.25-2.55,0.30,0.34,0.300,102.7,14.0%,+35.000%
01854.HK,2019/03/21,N/A,N/A,N/A,N/A,N/A,N/A,-12.500%
01897.HK,2019/03/19,N/A,N/A,N/A,N/A,N/A,N/A,0.000%
02682.HK,2019/03/18,5.00-6.00,0.50,0.60,0.500,認購不足,100.0%,-44.000%
03662.HK,2019/03/18,24.36-30.10,3.48,4.30,3.660,5.2,100.0%,+21.585%
01563.HK,2019/03/15,12.60-25.05,0.84,1.67,0.850,0.1,100.0%,-2.353%
01891.HK,2019/03/15,5.00-6.20,0.50,0.62,0.500,205.6,50.0%,-26.000%
01907.HK,2019/03/15,110.40-127.20,2.76,3.18,2.800,0.2,100.0%,0.000%
03316.HK,2019/03/15,14.40-18.67,5.40,7.00,6.960,6.1,100.0%,+5.172%
08096.HK,2019/03/15,2.00-3.50,0.40,0.70,0.700,145.2,50.0%,-32.143%
01917.HK,2019/03/14,9.20-11.50,0.40,0.50,0.410,440.7,20.0%,+53.659%
01158.HK,2019/03/11,9.36-14.04,13.37,20.05,16.500,0.5,100.0%,+2.303%
00150.HK,2019/03/08,N/A,N/A,N/A,N/A,N/A,N/A,-8.235%
01902.HK,2019/03/06,28.34-35.14,2.00,2.48,2.380,認購不足,100.0%,0.000%
02108.HK,2019/03/06,5.20-6.00,0.65,0.75,0.750,15.4,45.0%,-10.667%
01025.HK,2019/02/28,5.10-6.55,0.98,1.26,0.980,18.3,48.6%,+8.163%
01872.HK,2019/02/28,3.87-4.23,0.43,0.47,0.430,71.5,50.0%,+46.512%
01793.HK,2019/02/27,5.00-6.00,0.625,0.75,0.625,15.2,15.0%,+4.000%
02019.HK,2019/02/26,61.06-85.54,2.32,3.25,2.800,認購不足,100.0%,0.000%
02616.HK,2019/02/26,109.23-125.96,11.10,12.80,12.000,6.2,100.0%,+7.167%
08607.HK,2019/02/26,3.20-6.40,0.40,0.80,0.400,9.3,15.0%,+10.000%
08036.HK,2019/02/19,3.44-5.41,0.28,0.44,0.280,120.0,30.0%,0.000%
01827.HK,2019/02/18,N/A,N/A,N/A,N/A,N/A,N/A,-5.260%
01703.HK,2019/02/15,5.00-7.50,0.50,0.75,0.500,16.7,50.2%,+22.000%
01850.HK,2019/02/14,N/A,N/A,N/A,N/A,N/A,N/A,+4.000%
01896.HK,2019/02/04,166.68-229.75,14.80,20.40,14.800,1.3,100.0%,-1.100%
01890.HK,2019/01/25,41.60-54.00,2.08,2.70,2.480,0.6,100.0%,+1.210%
01851.HK,2019/01/18,6.20-9.90,1.24,1.98,1.440,1.6,50.0%,-6.250%
01785.HK,2019/01/15,N/A,2.20,2.20,2.200,認購不足,100.0%,-0.909%
02013.HK,2019/01/15,56.32-70.40,2.80,3.50,2.800,認購不足,100.0%,+4.643%
06162.HK,2019/01/15,5.00-6.20,0.25,0.31,0.250,6.2,25.0%,-0.800%
01767.HK,2019/01/14,5.00-5.50,0.50,0.55,0.500,15.9,15.0%,+26.000%
01841.HK,2019/01/11,N/A,N/A,N/A,N/A,N/A,N/A,+7.143%
02360.HK,2019/01/11,10.00-12.00,1.00,1.20,1.000,9.9,30.0%,+17.000%
02885.HK,2019/01/11,5.00-6.20,1.25,1.55,1.250,5.1,50.1%,-25.600%
08631.HK,2019/01/08,2.00-2.80,0.50,0.70,0.600,42.4,18.0%,-17.500%
01743.HK,2019/01/04,2.34-3.27,13.50,18.90,15.800,2.3,70.0%,-9.747%
01845.HK,2019/01/03,11.73-13.33,0.88,1.00,0.880,1.4,70.0%,+2.273%
06058.HK,2019/01/03,N/A,N/A,N/A,N/A,N/A,N/A,-24.240%
01796.HK,2018/12/31,5.04-6.00,1.05,1.25,1.050,12.0,50.0%,-6.667%
01713.HK,2018/12/28,4.73-6.29,1.76,2.34,1.770,認購不足,100.0%,0.000%
01759.HK,2018/12/28,6.05-7.34,2.80,3.40,2.800,6.4,30.1%,+1.429%
03978.HK,2018/12/27,18.69-24.64,2.20,2.90,2.400,0.8,100.0%,0.000%
01877.HK,2018/12/24,35.42-37.24,19.38,20.38,19.380,3.8,100.0%,+22.549%
01762.HK,2018/12/21,45.33-58.82,3.56,4.62,3.560,2.3,60.0%,-15.730%
01820.HK,2018/12/21,11.97-14.31,3.98,4.76,3.980,3.0,40.0%,0.000%
02892.HK,2018/12/20,8.03-9.98,1.07,1.33,1.200,認購不足,100.0%,+5.000%
01675.HK,2018/12/19,75.26-96.76,10.50,13.50,10.500,認購不足,100.0%,-4.571%
01983.HK,2018/12/17,17.19-18.56,3.15,3.40,3.180,認購不足,100.0%,+2.201%
01995.HK,2018/12/17,24.00-31.20,1.60,2.08,1.780,0.2,100.0%,0.000%
01992.HK,2018/12/14,192.42-246.69,15.60,20.00,15.600,認購不足,100.0%,-3.974%
02359.HK,2018/12/13,78.07-87.08,64.10,71.50,68.000,0.9,100.0%,0.000%
08622.HK,2018/12/13,1.76-2.56,0.44,0.64,0.500,130.5,15.0%,-6.000%
01837.HK,2018/12/12,35.98-46.64,1.62,2.10,1.620,0.4,100.0%,-12.346%
01860.HK,2018/12/12,59.83-78.24,3.90,5.10,4.000,0.8,100.0%,-0.250%
02798.HK,2018/12/12,9.60-15.36,0.60,0.96,0.680,7.5,30.0%,0.000%
08621.HK,2018/12/12,3.12-4.00,0.39,0.50,0.390,36.1,38.0%,+41.026%
03992.HK,2018/12/11,5.00-5.50,1.00,1.10,1.000,58.4,30.0%,-16.000%
01119.HK,2018/12/06,76.18-99.04,6.00,7.80,6.600,11.6,35.0%,-8.636%
02168.HK,2018/12/06,12.71-15.23,9.08,10.88,9.380,19.4,70.0%,-1.493%
03668.HK,2018/12/06,308.88-339.93,23.48,25.84,23.480,認購不足,100.0%,-0.554%
01782.HK,2018/11/29,N/A,N/A,N/A,N/A,N/A,N/A,-11.970%
01790.HK,2018/11/29,N/A,0.58,0.58,0.580,5.3,40.0%,-1.724%
01761.HK,2018/11/27,114.82-148.59,6.80,8.80,6.800,0.2,100.0%,+1.029%
00780.HK,2018/11/26,200.35-259.94,9.75,12.65,9.800,1.7,100.0%,+26.531%
02258.HK,2018/11/19,9.90-12.88,1.20,1.56,1.220,0.7,100.0%,+9.016%
06890.HK,2018/11/19,6.00-7.80,1.00,1.30,1.020,23.0,60.1%,+4.902%
01835.HK,2018/11/13,1.92-2.68,5.00,7.00,5.000,4.6,100.0%,+4.200%
03616.HK,2018/11/12,12.24-16.80,1.02,1.40,1.240,0.9,100.0%,-8.871%
08259.HK,2018/11/07,2.40-2.88,0.50,0.60,0.500,21.5,40.0%,+40.000%
01755.HK,2018/11/06,23.20-31.20,2.90,3.90,2.900,認購不足,100.0%,+3.793%
01712.HK,2018/11/05,N/A,2.03,2.03,2.030,0.6,100.0%,+3.941%
01801.HK,2018/10/31,139.77-156.54,12.50,14.00,13.980,0.1,100.0%,+18.598%
01034.HK,2018/10/30,5.12-5.44,0.32,0.34,0.320,11.4,26.0%,+43.750%
08611.HK,2018/10/22,2.65-3.43,0.68,0.88,0.620,7.2,14.5%,+16.129%
01653.HK,2018/10/19,3.80-5.00,0.19,0.25,0.190,15.6,13.0%,+84.211%
01825.HK,2018/10/19,3.20-3.52,0.40,0.44,0.400,17.4,30.0%,-3.750%
01741.HK,2018/10/16,5.00-5.40,0.625,0.675,0.625,4.0,40.0%,+0.800%
08613.HK,2018/10/16,2.20-3.00,0.22,0.30,0.220,20.7,20.0%,+10.000%
08516.HK,2018/10/15,1.92-2.64,0.40,0.55,0.400,13.0,22.5%,+87.500%
08603.HK,2018/10/15,2.24-3.52,0.28,0.44,0.280,12.4,20.0%,+46.429%
01894.HK,2018/10/12,6.08-6.84,0.80,0.90,0.850,11.5,25.0%,+3.529%
08042.HK,2018/10/12,2.40-3.20,0.30,0.40,0.300,15.2,60.0%,-28.333%
01772.HK,2018/10/11,33.03-53.05,16.50,26.50,16.500,認購不足,100.0%,-28.727%
01939.HK,2018/10/11,7.50-8.55,1.50,1.71,1.500,5.7,30.0%,+4.000%
03990.HK,2018/10/11,202.40-255.97,17.00,21.50,17.000,認購不足,100.0%,-6.588%
06111.HK,2018/10/11,27.15-41.23,3.28,4.98,4.200,認購不足,100.0%,0.000%
01809.HK,2018/10/09,37.40-47.63,5.89,7.50,5.890,認購不足,100.0%,-25.637%
01540.HK,2018/10/08,5.07-5.58,1.00,1.10,1.000,9.6,25.0%,-16.000%
01736.HK,2018/10/08,N/A,N/A,N/A,N/A,N/A,N/A,-16.670%
01781.HK,2018/10/04,5.40-6.48,1.00,1.20,1.100,9.3,25.0%,+15.455%
01787.HK,2018/09/28,48.18-60.24,14.70,18.38,14.700,認購不足,100.0%,0.000%
08017.HK,2018/09/28,3.20-4.00,0.64,0.80,0.640,24.9,30.0%,-27.344%
01723.HK,2018/09/27,4.00-5.20,1.00,1.30,1.000,5.5,45.1%,+112.000%
01911.HK,2018/09/27,174.40-190.86,31.80,34.80,31.800,認購不足,100.0%,-22.327%
01748.HK,2018/09/26,5.16-7.04,1.29,1.76,1.500,3.8,21.4%,+0.667%
06862.HK,2018/09/26,784.40-943.40,14.80,17.80,17.800,4.6,60.0%,+0.112%
03690.HK,2018/09/20,"3,294.75-3,953.70",60.00,72.00,69.000,0.5,100.0%,+5.290%
08619.HK,2018/09/17,1.92-2.69,0.20,0.28,0.200,12.6,20.0%,+245.000%
02552.HK,2018/09/14,87.10-97.62,8.28,9.28,8.280,認購不足,100.0%,0.000%
02680.HK,2018/09/14,5.20-7.20,1.30,1.80,1.800,98.1,70.0%,-45.556%
01969.HK,2018/09/13,24.96-35.76,2.08,2.98,2.080,0.9,100.0%,-16.346%
08601.HK,2018/09/13,2.40-3.20,0.30,0.40,0.400,12.1,19.2%,-7.500%
01615.HK,2018/09/10,3.12-4.68,0.52,0.78,0.670,180.5,48.5%,-5.970%
08609.HK,2018/09/07,2.00-2.50,0.40,0.50,0.500,21.1,30.0%,-21.000%
01869.HK,2018/09/05,N/A,N/A,N/A,N/A,N/A,N/A,-7.229%
08482.HK,2018/09/05,2.10-2.94,0.25,0.35,0.275,14.2,40.0%,-9.455%
08210.HK,2018/08/27,2.00-2.40,0.25,0.30,0.255,23.0,50.0%,0.000%
01783.HK,2018/08/22,3.60-4.40,0.45,0.55,0.550,723.5,15.0%,-10.909%
01725.HK,2018/08/16,5.10-6.00,1.70,2.00,1.750,419.7,10.0%,-17.143%
08475.HK,2018/08/13,2.00-3.20,0.50,0.80,0.720,87.0,40.0%,-31.250%
00788.HK,2018/08/08,"2,172.99-2,724.86",1.26,1.58,1.260,0.4,100.0%,0.000%
06160.HK,2018/08/08,724.20-856.15,94.40,111.60,108.000,0.7,100.0%,-0.926%
01765.HK,2018/08/03,101.33-128.00,1.52,1.92,1.920,17.4,100.0%,-2.604%
01672.HK,2018/08/01,134.48-179.31,12.0,16.0,14.000,8.1,40.0%,0.000%
01758.HK,2018/07/31,15.92-18.88,1.99,2.36,2.360,236.7,80.0%,+21.610%
02048.HK,2018/07/20,211.02-259.44,14.38,17.68,14.380,認購不足,100.0%,-1.391%
01576.HK,2018/07/19,27.50-34.10,2.50,3.10,2.500,認購不足,100.0%,-8.000%
08512.HK,2018/07/19,3.08-3.96,0.28,0.36,0.295,2.6,80.1%,+86.441%
00797.HK,2018/07/18,40.00-59.20,1.50,2.22,1.500,認購不足,100.0%,-2.000%
03302.HK,2018/07/18,8.56-10.58,1.02,1.26,1.170,3.7,85.0%,+5.128%
08525.HK,2018/07/18,3.24-3.83,1.20,1.42,1.280,5.3,100.0%,+7.812%
08547.HK,2018/07/18,3.00-4.00,0.30,0.40,0.300,2.5,50.0%,0.000%
01715.HK,2018/07/16,4.50-5.40,0.30,0.36,0.300,18.6,55.0%,+5.000%
01721.HK,2018/07/16,5.20-6.00,0.52,0.60,0.530,8.8,25.0%,+15.094%
01968.HK,2018/07/16,7.04-8.96,1.10,1.40,1.120,13.5,20.0%,+156.250%
08540.HK,2018/07/16,2.12-2.88,1.06,1.44,1.250,6.5,50.0%,+4.000%
08606.HK,2018/07/16,1.84-2.40,0.23,0.30,0.300,9.9,40.0%,+133.333%
01731.HK,2018/07/13,9.97-14.00,0.89,1.25,0.890,3.3,60.0%,+25.843%
01775.HK,2018/07/13,4.50-5.50,0.90,1.10,1.080,287.7,40.0%,+22.222%
02051.HK,2018/07/13,100.90-136.51,8.50,11.50,8.500,認購不足,100.0%,+7.059%
01739.HK,2018/07/12,82.29-108.91,4.85,4.85,4.850,認購不足,100.0%,-6.392%
01760.HK,2018/07/12,29.00-33.30,2.90,3.33,2.900,6.7,100.0%,0.000%
01773.HK,2018/07/12,46.90-55.20,2.26,2.66,2.660,8.4,100.0%,+19.925%
01996.HK,2018/07/12,69.76-101.76,2.18,3.18,2.280,認購不足,100.0%,+12.281%
03700.HK,2018/07/12,77.60-100.78,3.85,5.00,3.850,1.7,100.0%,+10.649%
06860.HK,2018/07/12,41.40-65.40,2.07,3.27,2.070,認購不足,100.0%,+5.314%
08140.HK,2018/07/12,2.40-3.20,0.30,0.40,0.300,11.6,22.1%,+63.333%
08219.HK,2018/07/12,2.30-2.70,0.23,0.27,0.250,13.7,30.0%,+98.000%
01652.HK,2018/07/11,16.00-24.00,2.00,3.00,2.080,2.6,70.0%,+22.115%
01746.HK,2018/07/11,5.00-6.00,0.50,0.60,0.520,45.4,70.0%,-30.769%
06190.HK,2018/07/10,247.33-258.66,10.48,10.96,10.600,認購不足,100.0%,0.000%
08502.HK,2018/07/10,3.04-3.36,0.38,0.42,0.380,0.0,100.0%,+9.211%
01810.HK,2018/07/09,"3,838.19-4,967.08",17.0,22.0,17.000,8.5,100.0%,-1.176%
08223.HK,2018/07/09,2.40-4.00,0.60,1.00,0.760,13.6,30.0%,+106.579%
01763.HK,2018/07/06,56.94-77.41,17.80,24.20,21.600,34.2,80.0%,-6.944%
02262.HK,2018/07/05,8.09-11.97,0.71,1.05,0.880,124.5,60.0%,+30.682%
01592.HK,2018/07/04,4.80-6.00,0.40,0.50,0.400,17.5,85.0%,-30.000%
08305.HK,2018/07/04,2.00-2.40,0.25,0.30,0.300,22.7,60.0%,-18.667%
06100.HK,2018/06/29,141.23-175.92,28.50,35.50,33.000,1.2,100.0%,-1.515%
01620.HK,2018/06/28,4.02-5.10,0.335,0.425,0.360,191.9,40.1%,-1.389%
01587.HK,2018/06/27,N/A,0.75,0.75,0.750,89.4,50.0%,-22.667%
01749.HK,2018/06/27,4.38-6.55,3.28,4.91,3.780,148.2,27.0%,-7.672%
08146.HK,2018/06/27,2.40-3.20,0.30,0.40,0.350,127.8,70.0%,+48.571%
01916.HK,2018/06/26,277.92-311.61,5.94,6.66,6.390,認購不足,100.0%,+0.313%
02003.HK,2018/06/21,99.46-114.38,20.0,23.0,20.000,8.4,100.0%,+2.250%
06098.HK,2018/06/19,N/A,N/A,N/A,N/A,N/A,N/A,0.000%
01806.HK,2018/06/15,81.35-106.37,6.50,8.50,7.500,8.7,70.0%,-11.733%
08357.HK,2018/06/15,2.60-3.12,0.50,0.60,0.600,149.7,3.3%,+31.667%
01751.HK,2018/06/12,N/A,N/A,N/A,N/A,N/A,N/A,-15.625%
08403.HK,2018/06/12,2.40-3.20,0.12,0.16,0.145,115.6,50.0%,-4.828%
01757.HK,2018/06/07,3.60-4.08,0.30,0.34,0.340,452.8,30.0%,+5.882%
01451.HK,2018/06/01,2.40-2.72,1.20,1.36,1.340,613.0,40.0%,+2.985%
06119.HK,2018/06/01,5.04-6.00,0.84,1.00,0.850,15.9,70.0%,-11.765%
08545.HK,2018/05/31,2.50-3.50,0.25,0.35,0.350,41.9,9.0%,+14.286%
01978.HK,2018/05/30,8.00-10.40,1.00,1.30,1.100,978.1,55.0%,+40.000%
08490.HK,2018/05/30,2.96-4.09,0.42,0.58,0.580,116.5,40.0%,+3.448%
01598.HK,2018/05/29,9.76-13.97,0.79,1.13,1.130,107.6,60.0%,+51.327%
03613.HK,2018/05/29,N/A,N/A,N/A,N/A,N/A,N/A,-7.010%
08536.HK,2018/05/18,2.00-2.40,0.40,0.48,0.480,275.0,40.0%,+2.083%
08105.HK,2018/05/16,3.20-4.00,0.40,0.50,0.400,34.4,100.0%,+21.250%
08521.HK,2018/05/16,2.40-2.88,0.50,0.60,0.580,20.3,100.0%,+12.069%
01742.HK,2018/05/11,6.40-7.68,0.40,0.48,0.450,52.2,100.0%,-10.000%
01750.HK,2018/05/11,5.40-6.84,0.30,0.38,0.300,22.4,100.0%,+3.333%
01752.HK,2018/05/11,6.79-9.30,0.27,0.37,0.330,15.9,100.0%,+19.697%
02119.HK,2018/05/11,10.86-15.86,1.50,2.19,1.980,161.9,15.0%,+19.697%
08391.HK,2018/05/11,N/A,0.60,0.60,0.600,6.9,100.0%,+5.000%
08527.HK,2018/05/09,2.50-3.00,0.50,0.60,0.500,9.8,70.0%,+100.000%
01833.HK,2018/05/04,542.19-584.88,50.80,54.80,54.800,653.0,60.0%,0.000%
08107.HK,2018/05/04,2.00-2.40,0.20,0.24,0.225,31.2,80.0%,+77.778%
01671.HK,2018/04/27,2.68-2.93,1.74,1.90,1.900,"1,592.2",20.0%,-5.789%
08151.HK,2018/04/23,2.02-2.18,0.48,0.52,0.480,320.6,60.0%,+6.250%
08511.HK,2018/04/20,2.20-3.40,0.55,0.85,0.650,69.1,50.0%,-23.846%
01726.HK,2018/04/18,3.60-4.40,0.45,0.55,0.550,788.0,20.0%,0.000%
08241.HK,2018/04/16,1.73-1.94,0.48,0.54,0.540,675.6,10.0%,+33.333%
08447.HK,2018/04/16,2.30-2.70,0.23,0.27,0.270,25.9,60.4%,+1.852%
08451.HK,2018/04/16,2.00-2.40,0.25,0.30,0.275,83.7,61.8%,+3.636%
08507.HK,2018/04/16,2.00-2.40,0.50,0.60,0.580,18.9,100.0%,-15.517%
01735.HK,2018/03/29,N/A,1.50,1.50,1.500,742.9,50.0%,+0.667%
08372.HK,2018/03/29,2.40-2.80,0.30,0.35,0.335,252.4,35.1%,+19.403%
01716.HK,2018/03/28,2.70-3.24,1.00,1.20,1.200,"6,288.0",0.8%,+431.667%
02116.HK,2018/03/28,4.80-6.00,1.00,1.25,1.250,225.4,40.0%,-2.400%
08401.HK,2018/03/28,2.00-2.60,1.00,1.30,1.050,203.7,30.0%,-15.238%
08448.HK,2018/03/28,1.80-2.16,0.20,0.24,0.230,306.6,30.0%,-0.435%
03997.HK,2018/03/27,N/A,N/A,N/A,N/A,N/A,N/A,+0.408%
02779.HK,2018/03/26,45.28-59.04,2.83,3.69,3.260,31.8,70.0%,0.000%
00807.HK,2018/03/23,N/A,N/A,N/A,N/A,N/A,N/A,-2.188%
08168.HK,2018/03/22,2.00-3.20,0.20,0.32,0.240,94.9,100.0%,+12.500%
02363.HK,2018/03/16,N/A,2.30,2.30,2.300,274.3,20.1%,+4.348%
02377.HK,2018/03/16,24.26-36.39,2.40,3.60,2.400,3.6,80.0%,-0.833%
06036.HK,2018/03/16,4.00-5.80,0.40,0.58,0.500,258.1,30.2%,+80.000%
01705.HK,2018/03/14,3.20-4.00,0.80,1.00,1.000,"2,599.5",3.0%,+298.000%
01737.HK,2018/03/14,3.00-5.00,0.30,0.50,0.480,79.0,38.0%,+10.417%
01815.HK,2018/03/13,24.02-34.56,2.28,3.28,2.380,4.6,70.0%,+0.420%
02182.HK,2018/03/08,4.03-4.65,0.65,0.75,0.710,577.7,30.1%,+2.817%
01621.HK,2018/03/05,3.00-5.00,0.30,0.50,0.350,46.2,35.0%,+10.000%
01933.HK,2018/03/02,2.74-3.66,0.72,0.96,0.950,258.6,3.0%,+41.053%
08483.HK,2018/02/28,2.40-2.80,0.30,0.35,0.310,34.0,100.0%,+16.129%
08526.HK,2018/02/27,2.18-2.41,0.38,0.42,0.380,23.7,80.0%,+2.632%
08367.HK,2018/02/26,2.16-2.64,0.27,0.33,0.275,13.8,40.1%,0.000%
08532.HK,2018/02/23,2.00-2.80,0.25,0.35,0.280,24.3,70.0%,+46.429%
08040.HK,2018/02/14,2.00-2.80,0.625,0.875,0.750,30.9,50.0%,+2.667%
08379.HK,2018/02/14,2.16-2.80,0.27,0.35,0.350,92.7,40.0%,+2.857%
01183.HK,2018/02/13,12.00-15.00,1.00,1.25,1.250,160.8,60.0%,+9.600%
01729.HK,2018/02/13,4.60-9.20,0.25,0.50,0.500,267.4,60.0%,-15.000%
08510.HK,2018/02/13,2.80-3.20,0.35,0.40,0.350,15.1,100.0%,-5.714%
08522.HK,2018/02/13,2.23-2.98,0.60,0.80,0.800,34.4,60.1%,+1.250%
01690.HK,2018/02/12,N/A,N/A,N/A,N/A,N/A,N/A,-8.197%
01990.HK,2018/02/12,N/A,N/A,N/A,N/A,N/A,N/A,-24.852%
08473.HK,2018/02/12,2.46-3.02,0.22,0.27,0.270,136.5,50.0%,+3.704%
08523.HK,2018/02/12,1.60-2.00,0.40,0.50,0.500,3.3,60.0%,-20.000%
08535.HK,2018/02/12,2.04-2.76,0.17,0.23,0.170,33.8,20.0%,-20.000%
03319.HK,2018/02/09,144.00-189.33,10.80,14.20,12.300,19.1,100.0%,-23.089%
06829.HK,2018/02/08,3.60-4.80,0.30,0.40,0.400,"1,680.1",10.1%,+3.750%
08519.HK,2018/02/08,N/A,0.30,0.30,0.300,84.7,80.0%,-15.000%
01659.HK,2018/02/05,N/A,N/A,N/A,N/A,N/A,N/A,0.000%
08450.HK,2018/02/02,2.00-2.40,0.20,0.24,0.220,333.9,40.0%,+15.909%
01711.HK,2018/01/29,3.04-4.96,0.38,0.62,0.560,"1,638.0",10.0%,+185.714%
01719.HK,2018/01/29,N/A,N/A,N/A,N/A,N/A,N/A,-2.020%
08456.HK,2018/01/26,2.48-3.12,0.62,0.78,0.700,18.6,16.5%,+17.143%
08136.HK,2018/01/25,2.00-4.00,0.20,0.40,0.250,14.0,28.0%,+100.000%
08395.HK,2018/01/25,2.06-2.69,0.13,0.17,0.156,27.6,70.0%,+19.231%
01686.HK,2018/01/22,N/A,N/A,N/A,N/A,N/A,N/A,-18.840%
02683.HK,2018/01/22,4.00-5.52,1.00,1.38,1.180,239.0,80.0%,+2.542%
01665.HK,2018/01/19,14.40-17.60,0.90,1.10,1.000,8.6,15.0%,-2.000%
08043.HK,2018/01/19,2.00-3.60,0.50,0.90,0.500,10.4,30.0%,+140.000%
08513.HK,2018/01/19,2.40-2.80,0.60,0.70,0.650,17.5,75.0%,+4.615%
02139.HK,2018/01/18,66.39-70.46,2.61,2.77,2.690,0.6,100.0%,+7.063%
